session,run_number,run_label,run_date,local_hour,raw_mean,corr_mean,corr_std,n
1,1,Run 1 (2026-03-01),2026-03-01,0,13.411111111111111,13.631953580322154,1.0713431532379052,18
1,1,Run 1 (2026-03-01),2026-03-01,1,13.472222222222221,13.68937167652479,1.2414792852562118,18
1,1,Run 1 (2026-03-01),2026-03-01,2,13.727777777777778,13.959607609451371,1.0851682440836026,18
1,1,Run 1 (2026-03-01),2026-03-01,3,13.56111111111111,13.79179170924743,1.1565698519252945,18
1,1,Run 1 (2026-03-01),2026-03-01,4,13.522222222222222,13.756910073937522,1.326464474576996,18
1,1,Run 1 (2026-03-01),2026-03-01,5,13.344444444444443,13.574230538217357,1.1683979208546378,18
1,1,Run 1 (2026-03-01),2026-03-01,6,13.1,13.298157298900074,0.793235346495523,12
1,1,Run 1 (2026-03-01),2026-03-01,7,13.741666666666667,13.97791614439417,1.029113099476166,12
1,1,Run 1 (2026-03-01),2026-03-01,8,14.091666666666667,14.347732895570948,1.1639415230453554,12
1,1,Run 1 (2026-03-01),2026-03-01,9,13.208333333333334,13.464347943549464,1.2382088338494226,12
1,1,Run 1 (2026-03-01),2026-03-01,10,13.658333333333333,13.927720437974836,0.598082156324636,12
1,1,Run 1 (2026-03-01),2026-03-01,11,13.791666666666666,14.066066251787971,0.9611063283590804,12
1,1,Run 1 (2026-03-01),2026-03-01,12,13.541666666666666,13.802033526126925,1.0305062495599173,12
1,1,Run 1 (2026-03-01),2026-03-01,13,13.525,13.767432934747283,1.3666705346186836,12
1,1,Run 1 (2026-03-01),2026-03-01,14,13.291666666666666,13.538743213123867,0.9577701342798635,12
1,1,Run 1 (2026-03-01),2026-03-01,15,13.258333333333333,13.499975445220743,1.0785628758367585,12
1,1,Run 1 (2026-03-01),2026-03-01,16,13.725,13.984109295733468,1.0041518833280014,12
1,1,Run 1 (2026-03-01),2026-03-01,17,13.616666666666667,13.896788181029686,0.9991492142159986,12
1,1,Run 1 (2026-03-01),2026-03-01,18,13.625,13.914389934246529,0.7949766020952108,12
1,1,Run 1 (2026-03-01),2026-03-01,19,14.047058823529412,14.267201672251339,1.3050864876570378,17
1,1,Run 1 (2026-03-01),2026-03-01,20,13.172222222222222,13.37662151522723,1.2464019576035001,18
1,1,Run 1 (2026-03-01),2026-03-01,21,12.81111111111111,13.016140689839188,1.0593897059406545,18
1,1,Run 1 (2026-03-01),2026-03-01,22,13.355555555555556,13.575455426927348,1.2745692913445454,18
1,1,Run 1 (2026-03-01),2026-03-01,23,13.338888888888889,13.560648520696276,1.1890851798036928,18
38,2,Run 2 (2026-03-07),2026-03-07,0,13.825000000000001,13.734027662461152,1.0576449865254063,12
38,2,Run 2 (2026-03-07),2026-03-07,1,13.633333333333333,13.543643053855389,1.1808797870217658,12
38,2,Run 2 (2026-03-07),2026-03-07,2,13.65,13.611954576085912,0.498896271845445,6
38,2,Run 2 (2026-03-07),2026-03-07,3,13.333333333333334,13.24341035128453,0.8812024321287983,12
38,2,Run 2 (2026-03-07),2026-03-07,4,13.783333333333333,13.690822761452951,1.2659443677590465,12
38,2,Run 2 (2026-03-07),2026-03-07,5,12.924999999999999,12.841019982820084,1.134830445435282,12
38,2,Run 2 (2026-03-07),2026-03-07,6,14.549999999999999,14.461802937482124,1.1882866293360084,12
38,2,Run 2 (2026-03-07),2026-03-07,7,13.908333333333333,13.830402529266115,0.9165414375654732,12
38,2,Run 2 (2026-03-07),2026-03-07,8,14.033333333333333,13.96634394470272,1.3600559893742463,12
38,2,Run 2 (2026-03-07),2026-03-07,9,13.442857142857141,13.335749205721047,1.2059376733061622,7
38,2,Run 2 (2026-03-07),2026-03-07,10,13.416666666666666,13.281893019541569,1.5934237159781184,6
38,2,Run 2 (2026-03-07),2026-03-07,11,13.65,13.507978852880585,0.9614572844619532,6
38,2,Run 2 (2026-03-07),2026-03-07,12,13.883333333333333,13.72833179016257,1.2703947981104917,6
38,2,Run 2 (2026-03-07),2026-03-07,13,14.5,14.323419696296893,1.8081453359194783,6
38,2,Run 2 (2026-03-07),2026-03-07,14,13.483333333333334,13.317850015922668,1.2723701341928473,6
38,2,Run 2 (2026-03-07),2026-03-07,15,14.216666666666667,14.054641910324058,1.2937346587330425,6
38,2,Run 2 (2026-03-07),2026-03-07,16,14.0,13.866045495427937,0.6394418676581336,7
38,2,Run 2 (2026-03-07),2026-03-07,17,13.708333333333334,13.621701058123072,0.7459092629595624,12
38,2,Run 2 (2026-03-07),2026-03-07,18,13.424999999999999,13.34092130665744,0.7893701881134161,12
38,2,Run 2 (2026-03-07),2026-03-07,19,14.225,14.134811206653227,1.1996899717723788,12
38,2,Run 2 (2026-03-07),2026-03-07,20,13.916666666666666,13.82959637488626,1.2484974300453555,12
38,2,Run 2 (2026-03-07),2026-03-07,21,13.708333333333334,13.635896453922376,1.6847599871176684,12
38,2,Run 2 (2026-03-07),2026-03-07,22,13.691666666666668,13.61317241667548,1.2521177226212705,12
38,2,Run 2 (2026-03-07),2026-03-07,23,13.683333333333332,13.599356259814586,1.2935022181093767,12
39,3,Run 3 (2026-03-11),2026-03-11,0,13.760416666666666,13.728123510845935,0.9588313639708695,48
39,3,Run 3 (2026-03-11),2026-03-11,1,14.585416666666667,14.55523038912983,1.275823179021218,48
39,3,Run 3 (2026-03-11),2026-03-11,2,13.952083333333334,13.92788516510013,1.328006939579136,48
39,3,Run 3 (2026-03-11),2026-03-11,3,13.966666666666667,13.93628944946841,1.1863642444777627,48
39,3,Run 3 (2026-03-11),2026-03-11,4,13.777083333333332,13.750940451986876,1.4351701178996374,48
39,3,Run 3 (2026-03-11),2026-03-11,5,13.825000000000001,13.805190787576826,1.2809186278403177,48
39,3,Run 3 (2026-03-11),2026-03-11,6,13.545833333333334,13.534400561955373,1.1661186445340426,48
39,3,Run 3 (2026-03-11),2026-03-11,7,13.924999999999999,13.925076015792895,1.1031869378244692,48
39,3,Run 3 (2026-03-11),2026-03-11,8,13.935416666666667,13.957026971518316,1.361169385330754,48
39,3,Run 3 (2026-03-11),2026-03-11,9,13.804444444444446,13.822970387883796,1.0834164965088464,45
39,3,Run 3 (2026-03-11),2026-03-11,10,14.026190476190477,14.039347825153257,1.1678456998339237,42
39,3,Run 3 (2026-03-11),2026-03-11,11,13.873809523809525,13.887128815845605,1.0386966101564141,42
39,3,Run 3 (2026-03-11),2026-03-11,12,13.961904761904762,13.976633413057428,1.3212552011598222,42
39,3,Run 3 (2026-03-11),2026-03-11,13,13.8,13.796083731529666,1.2403770223043744,42
39,3,Run 3 (2026-03-11),2026-03-11,14,14.066666666666666,14.052937416561655,1.0833830696354296,42
39,3,Run 3 (2026-03-11),2026-03-11,15,14.08095238095238,14.063459958217111,1.182163593115454,42
39,3,Run 3 (2026-03-11),2026-03-11,16,13.75,13.730874390543928,1.0652410269530723,42
39,3,Run 3 (2026-03-11),2026-03-11,17,14.023809523809524,13.999603028221694,1.1895837923636994,42
39,3,Run 3 (2026-03-11),2026-03-11,18,13.766666666666667,13.748091446279854,1.3070901885397157,42
39,3,Run 3 (2026-03-11),2026-03-11,19,14.243181818181819,14.220385458332146,1.4659997726641187,44
39,3,Run 3 (2026-03-11),2026-03-11,20,13.979166666666666,13.941753076173093,1.358634531214094,48
39,3,Run 3 (2026-03-11),2026-03-11,21,14.104166666666666,14.063227607538975,1.4200649580210596,48
39,3,Run 3 (2026-03-11),2026-03-11,22,13.941666666666668,13.904752403502606,1.0527054167207712,48
39,3,Run 3 (2026-03-11),2026-03-11,23,13.904166666666667,13.862575829819278,0.9996598504074578,48
40,4,Run 4 (2026-03-19),2026-03-19,0,14.166666666666666,14.268120155362979,1.6615510311960582,6
40,4,Run 4 (2026-03-19),2026-03-19,1,14.4,14.497451916803968,1.3994530360020125,6
40,4,Run 4 (2026-03-19),2026-03-19,2,13.416666666666666,13.49908195787608,1.2083645556045823,6
40,4,Run 4 (2026-03-19),2026-03-19,3,13.883333333333333,13.953169681289623,0.8911320385254476,6
40,4,Run 4 (2026-03-19),2026-03-19,4,13.066666666666668,13.120961117486694,1.328982661099407,6
40,4,Run 4 (2026-03-19),2026-03-19,5,12.766666666666666,12.81328305254631,1.4010480954729174,6
40,4,Run 4 (2026-03-19),2026-03-19,6,13.700000000000001,13.7542685444489,0.7114184744812525,6
40,4,Run 4 (2026-03-19),2026-03-19,7,13.583333333333334,13.640743346773407,0.5732205972465073,6
40,4,Run 4 (2026-03-19),2026-03-19,8,14.26,14.316789159164696,0.3471075752491572,5
40,4,Run 4 (2026-03-19),2026-03-19,11,13.2,13.391221298099937,0.8701404110301751,2
40,4,Run 4 (2026-03-19),2026-03-19,12,13.933333333333332,14.104135043352452,1.8900267605642707,6
40,4,Run 4 (2026-03-19),2026-03-19,13,13.1,13.2420677630739,0.5636649582278056,6
40,4,Run 4 (2026-03-19),2026-03-19,14,14.4,14.532096844772454,1.1649021975792109,6
40,4,Run 4 (2026-03-19),2026-03-19,15,14.416666666666666,14.522232633525398,1.0417744775762061,6
40,4,Run 4 (2026-03-19),2026-03-19,16,14.183333333333332,14.27872144145362,0.8140138537462854,6
40,4,Run 4 (2026-03-19),2026-03-19,17,14.266666666666666,14.351135281085092,1.738137945477748,6
40,4,Run 4 (2026-03-19),2026-03-19,18,14.016666666666667,14.099633017324592,1.8048515140411079,6
40,4,Run 4 (2026-03-19),2026-03-19,19,13.566666666666668,13.650708025411076,1.0087932855220187,6
40,4,Run 4 (2026-03-19),2026-03-19,20,13.950000000000001,14.036386384195962,1.9469454860186237,6
40,4,Run 4 (2026-03-19),2026-03-19,21,14.383333333333333,14.478881286564365,1.1912336973198123,6
40,4,Run 4 (2026-03-19),2026-03-19,22,13.383333333333333,13.476498380016565,0.7826726110184166,6
40,4,Run 4 (2026-03-19),2026-03-19,23,14.716666666666667,14.820662885165733,0.9951836315454994,6
41,5,Run 5 (2026-03-20),2026-03-20,0,14.033333333333333,13.867206505333572,1.1314432426280827,6
41,5,Run 5 (2026-03-20),2026-03-20,1,13.766666666666666,13.59752928716754,0.7253346788440114,6
41,5,Run 5 (2026-03-20),2026-03-20,2,14.016666666666666,13.843296503757424,0.879948584496764,6
41,5,Run 5 (2026-03-20),2026-03-20,3,13.450000000000001,13.279586502000813,1.4739630951260958,6
41,5,Run 5 (2026-03-20),2026-03-20,4,14.483333333333334,14.304465873875344,1.3143069203303683,6
41,5,Run 5 (2026-03-20),2026-03-20,5,14.366666666666667,14.196908266785977,1.141841030410711,6
41,5,Run 5 (2026-03-20),2026-03-20,6,13.683333333333332,13.531944861841083,1.3537029237573432,6
41,5,Run 5 (2026-03-20),2026-03-20,7,13.883333333333333,13.746712461909373,0.9210249534402689,6
41,5,Run 5 (2026-03-20),2026-03-20,8,14.133333333333333,14.010918294214632,1.633989134879229,6
41,5,Run 5 (2026-03-20),2026-03-20,9,13.783333333333333,13.687204215273889,0.494454454176887,6
41,5,Run 5 (2026-03-20),2026-03-20,10,14.116666666666667,14.040813443415066,1.082427047184065,6
41,5,Run 5 (2026-03-20),2026-03-20,11,13.883333333333333,13.81487771921031,0.6380793934309267,6
41,5,Run 5 (2026-03-20),2026-03-20,12,14.216666666666667,14.149619847719764,1.017548305991958,6
41,5,Run 5 (2026-03-20),2026-03-20,13,13.733333333333333,13.668186917804656,1.0014916847921316,6
41,5,Run 5 (2026-03-20),2026-03-20,14,13.683333333333332,13.6065407357558,1.1218810823063032,6
41,5,Run 5 (2026-03-20),2026-03-20,15,14.316666666666668,14.235199694741164,0.7281147560861613,6
41,5,Run 5 (2026-03-20),2026-03-20,16,13.875,13.756825337450243,0.871634081016467,12
41,5,Run 5 (2026-03-20),2026-03-20,17,14.008333333333333,13.884110916395967,0.9646310331339998,12
41,5,Run 5 (2026-03-20),2026-03-20,18,13.791666666666666,13.672753141773448,0.677337746879817,12
41,5,Run 5 (2026-03-20),2026-03-20,19,13.991666666666667,13.88064194296348,1.0386246113059996,12
41,5,Run 5 (2026-03-20),2026-03-20,20,13.741666666666667,13.644485632823901,1.167128339613273,12
41,5,Run 5 (2026-03-20),2026-03-20,21,14.541666666666666,14.435431312591419,0.9620366202730525,12
41,5,Run 5 (2026-03-20),2026-03-20,22,13.841666666666667,13.742273584276928,1.233343706833341,12
41,5,Run 5 (2026-03-20),2026-03-20,23,14.266666666666667,14.161647347598956,1.518665799523851,12
42,6,Run 6 (2026-03-22),2026-03-22,0,14.218181818181819,14.068935498130331,0.8387462884553785,11
42,6,Run 6 (2026-03-22),2026-03-22,1,13.725,13.596216348349602,1.034284909635095,12
42,6,Run 6 (2026-03-22),2026-03-22,2,13.6,13.478689460420341,1.3786297496454467,12
42,6,Run 6 (2026-03-22),2026-03-22,3,14.341666666666667,14.212628122835204,1.084715717277072,12
42,6,Run 6 (2026-03-22),2026-03-22,4,14.316666666666668,14.188620571701437,1.3843733896501778,12
42,6,Run 6 (2026-03-22),2026-03-22,5,13.375,13.249206602164142,1.0149891317855015,12
42,6,Run 6 (2026-03-22),2026-03-22,6,13.966666666666667,13.827127575993972,1.0357449725922683,12
42,6,Run 6 (2026-03-22),2026-03-22,7,13.65,13.519382774317405,0.7562214492095114,12
42,6,Run 6 (2026-03-22),2026-03-22,8,13.966666666666667,13.834908812417892,1.2671928313498961,12
42,6,Run 6 (2026-03-22),2026-03-22,9,13.391666666666666,13.267757627649686,0.7854344866052217,12
42,6,Run 6 (2026-03-22),2026-03-22,10,13.25,13.129189372998772,1.1956027705236785,12
42,6,Run 6 (2026-03-22),2026-03-22,11,13.758333333333333,13.636426160756896,1.056774596062373,12
42,6,Run 6 (2026-03-22),2026-03-22,12,13.666666666666666,13.54282966626113,0.6840715282539692,12
42,6,Run 6 (2026-03-22),2026-03-22,13,14.608333333333334,14.473239879378774,1.2123229552151078,12
42,6,Run 6 (2026-03-22),2026-03-22,14,14.333333333333334,14.192199989031012,0.7208463994752622,12
42,6,Run 6 (2026-03-22),2026-03-22,15,14.450000000000001,14.303847796154281,0.9045988358551895,12
42,6,Run 6 (2026-03-22),2026-03-22,16,13.674999999999999,13.544248906848305,1.1049916874312318,12
42,6,Run 6 (2026-03-22),2026-03-22,17,13.575000000000001,13.446676787647133,1.1416367708389623,12
42,6,Run 6 (2026-03-22),2026-03-22,18,13.958333333333334,13.85421474782749,1.1400772862931792,12
42,6,Run 6 (2026-03-22),2026-03-22,19,14.155555555555557,13.998821831376528,0.7329269837184353,9
42,6,Run 6 (2026-03-22),2026-03-22,20,14.116666666666667,13.904997666443942,0.5825264501698041,6
42,6,Run 6 (2026-03-22),2026-03-22,21,15.4,15.173629325411339,1.3302615485263498,6
42,6,Run 6 (2026-03-22),2026-03-22,22,14.433333333333332,14.226551963667646,1.2190189263803999,6
42,6,Run 6 (2026-03-22),2026-03-22,23,14.15,13.923841372212522,1.2273070585426271,6
